task_id,task_category,method,run_id,success,required_objects,generated_objects,correct_objects,required_relations,generated_relations,correct_relations,required_bindings,generated_bindings,correct_bindings,checked_rules,violated_rules,manual_corrections,expected_trace_steps,traceable_steps,trace_field_components,trace_executed_components,trace_declared_steps,trace_executed_steps,trace_evidence_steps,missing_objects,extra_objects,hierarchy_errors,relation_direction_errors,missing_relations,missing_bindings,binding_missing_fields,asset_type_errors,layout_boundary_errors,pseudo_trace_steps,trace_not_auditable,memory_range_errors,elapsed_ms,notes
T01,场景构建,Direct-LLM + Schema,1,1,30,31,30,38,35,35,10,5,5,8,0,0,1,0,0,0,1,0,0,0,1,0,0,3,5,0,0,0,1,1,0,23171,场景构建完成，所有对象层级合法，设备绑定完整，摄像头覆盖作物区
T01,场景构建,Ours KAFarmTwin,1,1,30,25,25,38,84,38,10,33,10,6,0,0,5,5,5,5,0,10,10,5,0,0,21,0,0,0,0,0,0,0,0,19462,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2"
T02,场景构建,Direct-LLM + Schema,1,1,16,16,16,24,30,24,9,10,9,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16991,场景构建完成，所有对象层级合法，数据绑定完整，设备覆盖关系已建立，摄像头观测目标已指定
T02,场景构建,Ours KAFarmTwin,1,1,16,8,8,24,23,23,9,17,9,6,0,0,5,5,5,5,0,10,10,8,0,0,2,1,0,0,0,0,0,0,0,27607,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=2"
T03,场景构建,Direct-LLM + Schema,1,1,48,48,48,58,49,49,8,2,2,10,0,0,1,0,0,0,1,0,0,0,0,0,0,9,6,0,0,0,1,1,0,25271,场景构建完成，符合R1层级关系，4行玉米每行10株共40株，无人机观测地块，标尺绑定高度表型
T03,场景构建,Ours KAFarmTwin,1,1,48,31,31,58,101,58,8,38,8,5,0,0,5,5,5,5,0,10,10,17,0,0,24,0,0,0,0,0,0,0,0,12683,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=5"
T04,场景构建,Direct-LLM + Schema,1,1,42,43,42,54,30,30,12,3,3,7,0,0,1,0,0,0,1,0,0,0,1,0,0,24,9,0,0,0,1,1,0,32250,按任务要求生成32个生菜单元，4个栽培架，1个营养液箱，1个循环泵，2个水质传感器，1个摄像头。层级关系符合R1，数据绑定符合R2，空间布局符合R3，资产类型符合R4，摄像头符合R5，设备覆盖符合R6，Trace符合R7。
T04,场景构建,Ours KAFarmTwin,1,1,42,29,29,54,87,54,12,36,12,6,0,0,5,5,5,5,0,10,10,13,0,0,26,0,0,0,0,0,0,0,0,30387,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=2"
T05,场景构建,Direct-LLM + Schema,1,1,34,35,34,45,37,37,10,3,3,10,0,0,1,0,0,0,1,0,0,0,1,0,0,8,7,0,0,0,1,1,0,17157,场景构建完成，所有对象层级合法，气象站绑定育苗地块，滴灌控制地块，摄像头观测地块，符合R1-R10规则
T05,场景构建,Ours KAFarmTwin,1,1,34,33,33,45,109,45,10,39,10,6,0,0,5,5,5,5,0,10,10,1,0,0,24,0,0,0,0,0,0,0,0,15242,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2"
T06,场景构建,Direct-LLM + Schema,1,1,35,40,35,48,39,39,12,9,9,8,0,0,1,0,0,0,1,0,0,0,5,0,0,9,3,0,0,0,1,1,0,22196,场景构建完成，包含层级结构、传感器绑定、设备控制和摄像头观测关系
T06,场景构建,Ours KAFarmTwin,1,1,35,3,3,48,10,10,12,10,10,6,0,0,5,5,5,5,0,10,10,32,0,0,2,38,2,0,0,0,0,0,0,36394,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=2"
T07,资产路由,Direct-LLM + Schema,1,1,24,27,24,31,29,29,24,22,22,8,0,0,1,0,0,0,1,0,0,0,3,0,0,2,2,0,0,0,1,1,0,25155,5株重点番茄使用F2DMAS高保真模型，15株背景番茄使用轻量GLB，摄像头和传感器已占位。层级结构符合R1，数据绑定符合R2，资产类型符合R4，摄像头覆盖符合R5。
T07,资产路由,Ours KAFarmTwin,1,1,24,8,8,31,25,25,24,16,16,4,0,0,5,4,4,4,0,9,9,16,0,0,6,6,8,0,0,0,0,0,0,40014,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=2"
T08,资产路由,Direct-LLM + Schema,1,1,88,94,88,108,102,102,88,87,87,8,0,0,1,0,0,0,1,0,0,0,6,0,0,6,1,0,0,0,1,1,0,54822,80株生菜使用轻量GLB资产，温室结构和栽培槽使用程序化建模，缺失设备生成占位任务满足R9
T08,资产路由,Ours KAFarmTwin,1,0,88,6,6,108,17,17,88,6,6,5,1,1,5,5,5,5,0,10,10,82,0,0,4,91,82,0,0,0,0,0,0,25615,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=0"
T09,资产路由,Direct-LLM + Schema,1,1,18,12,12,27,13,13,18,8,8,6,0,0,1,0,0,0,1,0,0,6,0,0,0,14,10,0,0,0,1,1,0,13041,滴灌系统使用程序化模型，植株复用已有GLB，层级和资产类型符合规则R1/R4/R6/R9
T09,资产路由,Ours KAFarmTwin,1,1,18,4,4,27,11,11,18,5,5,4,0,0,5,5,5,5,0,11,11,14,0,0,0,16,13,0,0,0,0,0,0,33140,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=0"
T10,资产路由,Direct-LLM + Schema,1,1,12,13,12,18,13,13,12,4,4,8,0,0,1,0,0,0,1,0,0,0,1,0,0,5,8,0,1,0,1,1,0,10064,已生成占位资产和TRELLIS.2任务，满足R9缺失资产不中断规则
T10,资产路由,Ours KAFarmTwin,1,1,12,4,4,18,10,10,12,8,8,4,0,0,5,5,5,5,0,10,10,8,0,0,0,8,4,0,0,0,0,0,0,24202,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=1"
T11,资产路由,Direct-LLM + Schema,1,1,14,10,10,22,11,11,14,3,3,8,0,0,1,0,0,0,1,0,0,4,0,0,0,11,11,0,0,0,1,1,0,10418,番茄单株绑定F2DMAS资产，水泵和摄像头使用TRELLIS.2资产策略，温室和地块使用程序化模型，符合对比展示需求
T11,资产路由,Ours KAFarmTwin,1,1,14,6,6,22,29,22,14,13,13,5,0,0,5,5,5,5,0,10,10,8,0,0,2,0,1,0,0,0,0,0,0,29150,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 2, 'reason': 'llm json plan'}; missingAssets=2"
T12,资产路由,Direct-LLM + Schema,1,1,12,26,12,20,28,20,14,14,14,10,0,0,1,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,1,1,0,17284,采用Direct-LLM+Schema一次性生成完整对象层级和资产绑定，符合R1-R10规则要求。
T12,资产路由,Ours KAFarmTwin,1,1,12,4,4,20,13,13,14,4,4,4,0,0,5,5,5,5,0,10,10,8,0,0,4,7,10,0,0,0,0,0,0,33376,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=0"
T13,数据绑定,Direct-LLM + Schema,1,1,10,7,7,15,5,5,12,4,4,2,0,0,1,0,0,0,1,0,0,3,0,0,0,10,8,0,0,0,1,1,0,6722,传感器组绑定到温室，4项指标均含单位℃/%RH/ppm/lux和时间戳，符合R2数据绑定规则
T13,数据绑定,Ours KAFarmTwin,1,1,10,3,3,15,15,15,12,6,6,3,0,0,5,5,5,5,0,10,10,7,0,0,2,0,6,0,0,0,0,0,0,12167,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=1"
T14,数据绑定,Direct-LLM + Schema,1,1,8,12,8,14,12,12,10,15,10,3,0,0,1,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,1,1,0,12508,摄像头绑定到作物行并监控5株样本，表型数据绑定包含单位、时间戳和对象
T14,数据绑定,Ours KAFarmTwin,1,1,8,11,8,14,37,14,10,23,10,4,0,0,5,5,5,5,0,10,10,0,3,0,10,0,0,0,0,0,0,0,0,20204,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=4"
T15,数据绑定,Direct-LLM + Schema,1,1,9,4,4,16,4,4,14,7,7,2,0,0,1,0,0,0,1,0,0,5,0,0,0,12,7,0,0,0,1,1,0,9486,灌溉事件已绑定到地块B01和水泵P01，包含时间、流量、水压和结果属性
T15,数据绑定,Ours KAFarmTwin,1,1,9,2,2,16,10,10,14,3,3,3,0,0,5,5,5,5,0,10,10,7,0,0,0,6,11,0,0,0,0,0,0,13956,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0"
T16,数据绑定,Direct-LLM + Schema,1,1,15,14,14,22,13,13,18,40,18,4,0,0,1,0,0,0,1,0,0,1,0,0,0,9,0,0,0,0,1,1,0,24043,数据绑定任务完成，10株番茄均绑定4项表型数据（株高、冠幅、长势评分、异常标签），每项含单位cm/分/标签和时间戳2025-01-07，层级关系保留作物行包含植株
T16,数据绑定,Ours KAFarmTwin,1,1,15,10,10,22,31,22,18,10,10,3,0,0,5,5,5,5,0,10,10,5,0,0,10,0,8,0,0,0,0,0,0,21541,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=0"
T17,数据绑定,Direct-LLM + Schema,1,1,8,7,7,13,8,8,12,5,5,3,0,0,1,0,0,0,1,0,0,1,0,0,0,5,7,0,0,0,1,1,0,9648,气象站绑定完成，传感器覆盖风速、降雨、光照、温湿度，日报数据源已关联
T17,数据绑定,Ours KAFarmTwin,1,1,8,2,2,13,13,13,12,3,3,3,0,0,5,5,5,5,0,10,10,6,0,0,0,0,9,0,0,0,0,0,1,12370,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0"
T18,数据绑定,Direct-LLM + Schema,1,1,14,19,14,25,19,19,22,11,11,10,0,0,1,0,0,0,1,0,0,0,5,0,0,6,11,0,0,0,1,1,0,16391,数据绑定任务已完成，日报数据源聚合了温度、湿度、CO2传感器数据，灌溉事件、告警记录和设备状态，所有数据均绑定对象、单位和时间戳，符合R2规则
T18,数据绑定,Ours KAFarmTwin,1,1,14,8,8,25,24,24,22,9,9,4,0,0,5,5,5,5,0,10,10,6,0,0,4,1,13,0,0,0,0,0,1,52268,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=0"
T19,规则修正,Direct-LLM + Schema,1,0,8,2,2,12,1,1,7,1,1,2,1,0,1,0,0,0,1,0,0,6,0,1,0,11,6,0,0,0,1,1,0,12514,传感器未绑定违反R2，已自动修正为绑定到 Greenhouse_A
T19,规则修正,Ours KAFarmTwin,1,1,8,2,2,12,7,7,7,5,5,3,0,0,5,5,5,5,0,10,10,6,0,0,1,5,2,0,0,0,0,0,0,15035,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=1"
T20,规则修正,Direct-LLM + Schema,1,1,16,6,6,22,5,5,8,0,0,2,0,0,1,0,0,0,1,0,0,10,0,0,0,17,8,0,0,0,1,1,0,10923,检测到Row_05超出Plot_01边界，触发R3违规，已生成修正方案将Row_05收缩至Plot_01范围内
T20,规则修正,Ours KAFarmTwin,1,1,16,6,6,22,20,20,8,6,6,4,0,0,5,5,5,5,0,10,10,10,0,0,0,2,2,0,0,0,0,0,0,13057,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0"
T21,规则修正,Direct-LLM + Schema,1,1,18,11,11,25,9,9,9,0,0,3,0,0,1,0,0,0,1,0,0,7,0,0,0,16,9,0,0,0,1,1,1,7623,已按最近作物行自动归属番茄植株，修正R1层级缺失关系，生成belongs_to关系完成修正
T21,规则修正,Ours KAFarmTwin,1,1,18,8,8,25,28,25,9,8,8,4,0,0,5,5,5,5,0,10,10,10,0,0,8,0,1,0,0,0,0,0,1,17788,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=0"
T22,规则修正,Direct-LLM + Schema,1,1,10,5,5,15,5,5,8,3,3,2,0,0,1,0,0,0,1,0,0,5,0,0,0,10,5,0,0,0,1,1,0,12296,"已为Camera_02补充位姿(3.5,2.8,0)、观测目标CropRow_01及视场60°，满足R5摄像头合法性规则"
T22,规则修正,Ours KAFarmTwin,1,1,10,8,8,15,32,15,8,12,8,3,0,0,5,5,5,5,0,10,10,2,0,0,0,0,0,0,0,0,0,0,0,14347,"planSource={'mode': 'llm', 'model': 'MiniMaxAI/MiniMax-M2.5', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2"
T23,规则修正,Direct-LLM + Schema,1,1,8,5,5,12,4,4,10,3,3,2,0,0,1,0,0,0,1,0,0,3,0,0,0,8,7,0,0,0,1,1,0,11929,直接补齐表型数据缺失字段，满足R2数据绑定合法性
