task_id,task_category,method,run_id,success,required_objects,generated_objects,correct_objects,required_relations,generated_relations,correct_relations,required_bindings,generated_bindings,correct_bindings,checked_rules,violated_rules,manual_corrections,expected_trace_steps,traceable_steps,trace_field_components,trace_executed_components,trace_declared_steps,trace_executed_steps,trace_evidence_steps,missing_objects,extra_objects,hierarchy_errors,relation_direction_errors,missing_relations,missing_bindings,binding_missing_fields,asset_type_errors,layout_boundary_errors,pseudo_trace_steps,trace_not_auditable,memory_range_errors,elapsed_ms,notes
T01,场景构建,Direct-LLM + Schema,1,1,30,15,15,38,14,14,10,5,5,7,0,0,1,0,0,0,1,0,0,15,0,0,0,24,5,0,0,0,1,1,0,146388,直接按Schema生成，植株按行分布，缺失GLB用占位替代
T01,场景构建,Ours KAFarmTwin,1,1,30,25,25,38,84,38,10,34,10,6,0,0,5,5,5,5,0,10,10,5,0,0,21,0,0,0,0,0,0,0,0,102133,"planSource={'mode': 'llm', 'model': 'Pro/zai-org/GLM-5.1', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=3"
T02,场景构建,Direct-LLM + Schema,1,1,16,16,16,24,15,15,9,4,4,7,0,0,1,0,0,0,1,0,0,0,0,0,0,9,5,0,0,0,1,1,0,44662,基于Direct-LLM直接生成，苗床映射为CropRow，满足层级与设备覆盖规则
T02,场景构建,Ours KAFarmTwin,1,1,16,8,8,24,23,23,9,17,9,6,0,0,5,5,5,5,0,10,10,8,0,0,2,1,0,0,0,0,0,0,0,210330,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=2"
T03,场景构建,Direct-LLM + Schema,1,1,48,16,16,58,9,9,8,4,4,6,0,0,1,0,0,0,1,0,0,32,0,0,0,49,4,0,0,0,1,1,0,31802,直接生成场景层级，植株抽样表示40株，资产按R9设为占位
T03,场景构建,Ours KAFarmTwin,1,1,48,26,26,58,81,58,8,28,8,5,0,0,5,5,5,5,0,10,10,22,0,0,24,0,0,0,0,0,0,0,0,86585,"planSource={'mode': 'llm', 'model': 'Pro/zai-org/GLM-5.1', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2"
T04,场景构建,Direct-LLM + Schema,1,1,42,19,19,54,17,17,12,6,6,7,0,0,1,0,0,0,1,0,0,23,0,0,0,37,6,0,0,0,1,1,0,46683,按Schema直接生成，省略中间植株，满足R1-R6及R9
T04,场景构建,Ours KAFarmTwin,1,1,42,29,29,54,87,54,12,36,12,6,0,0,5,5,5,5,0,10,10,13,0,0,26,0,0,0,0,0,0,0,0,208488,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=2"
T05,场景构建,Direct-LLM + Schema,1,1,34,16,16,45,11,11,10,5,5,7,0,0,1,0,0,0,1,0,0,18,0,0,0,34,5,0,0,0,1,1,0,32141,直接按Schema生成，部分植株对象做极简代表，资产缺失已生成占位
T05,场景构建,Ours KAFarmTwin,1,1,34,33,33,45,109,45,10,40,10,6,0,0,5,5,5,5,0,10,10,1,0,0,0,0,0,0,0,0,0,0,0,210824,"planSource={'mode': 'llm', 'model': 'Pro/zai-org/GLM-5.1', 'provider': 'openai-compatible', 'attempt': 2, 'reason': 'llm json plan'}; missingAssets=3"
T06,场景构建,Direct-LLM + Schema,1,1,35,15,15,48,14,14,12,5,5,7,0,0,1,0,0,0,1,0,0,20,0,0,0,34,7,0,0,0,1,1,0,39851,按Schema直接映射，托盘聚合为Plant
T06,场景构建,Ours KAFarmTwin,1,1,35,3,3,48,10,10,12,10,10,6,0,0,5,5,5,5,0,10,10,32,0,0,2,38,2,0,0,0,0,0,0,149806,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=2"
T07,资产路由,Direct-LLM + Schema,1,1,24,11,11,31,6,6,24,8,8,7,0,0,1,0,0,0,1,0,0,13,0,0,0,25,16,0,0,0,1,1,0,27038,背景番茄合并为单一对象代表15株，摄像头与传感器保留占位资产
T07,资产路由,Ours KAFarmTwin,1,1,24,22,22,31,72,31,24,29,24,4,0,0,5,5,5,5,0,10,10,2,0,0,21,0,0,0,0,0,0,0,0,169661,"planSource={'mode': 'llm', 'model': 'Pro/zai-org/GLM-5.1', 'provider': 'openai-compatible', 'attempt': 2, 'reason': 'llm json plan'}; missingAssets=3"
T08,资产路由,Direct-LLM + Schema,1,1,88,7,7,108,6,6,88,5,5,5,0,0,1,0,0,0,1,0,0,81,0,0,0,102,83,0,0,0,1,1,0,22434,80株生菜资产统一绑定轻量级，缺失设备生成占位及任务
T08,资产路由,Ours KAFarmTwin,1,0,88,6,6,108,17,17,88,6,6,5,1,1,5,5,5,5,0,10,10,82,0,0,4,91,82,0,0,0,0,0,0,140596,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=0"
T09,资产路由,Direct-LLM + Schema,1,1,18,7,7,27,6,6,18,5,5,4,0,0,1,0,0,0,1,0,0,11,0,0,0,21,13,0,0,0,1,1,0,23943,按任务要求骨架行管程序化，植株GLB
T09,资产路由,Ours KAFarmTwin,1,1,18,4,4,27,11,11,18,5,5,4,0,0,5,5,5,5,0,10,10,14,0,0,0,16,13,0,0,0,0,0,0,164478,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=0"
T10,资产路由,Direct-LLM + Schema,1,1,12,6,6,18,5,5,12,4,4,6,0,0,1,0,0,0,1,0,0,6,0,0,0,13,8,0,0,0,1,1,0,18271,按R9规则对缺失虫情灯与AI摄像头生成占位资产及TRELLIS.2生成任务，满足R5与R6约束。
T10,资产路由,Ours KAFarmTwin,1,1,12,4,4,18,10,10,12,8,8,4,0,0,5,5,5,5,0,10,10,8,0,0,0,8,4,0,0,0,0,0,0,153949,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=1"
T11,资产路由,Direct-LLM + Schema,1,1,14,6,6,22,5,5,14,5,5,6,0,0,1,0,0,0,1,0,0,8,0,0,0,17,9,0,0,0,1,1,0,17946,按任务要求路由资产，缺失摄像头资产生成占位
T11,资产路由,Ours KAFarmTwin,1,1,14,10,10,22,30,22,14,15,14,5,0,0,5,5,5,5,0,10,10,4,0,0,4,0,0,0,0,0,0,0,0,208483,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=1"
T12,资产路由,Direct-LLM + Schema,1,1,12,11,11,20,10,10,14,8,8,5,0,0,1,0,0,0,1,0,0,1,0,0,0,10,6,0,0,0,1,1,0,31580,3株植株分配5个生命周期表型；缺失GLB按R9生成占位及任务
